,textID,text,sentiment
0,cb774db0d1,would responded going,neutral
1,549e992a42,sooo sad miss san diego,negative
2,088c60f138,boss bullying,negative
3,9642c003ef,interview leave alone,negative
4,358bd9e861,sons could put releases already bought,negative
5,28b57f3990,www dothebouncy smf shameless plugging best rangers forum earth,neutral
6,6e0c6d75b1,2am feedings baby fun smiles coos,positive
7,50e14c0bb8,soooo high,neutral
8,e050245fbd,,neutral
9,fc2cbefa9d,journey wow became cooler hehe possible,positive
10,2339a9b08b,much love hopeful reckon chances minimal never gon na get cake stuff,neutral
11,16fab9f95b,really really like song love story taylor swift,positive
12,74a76f6e0a,sharpie running dangerously low ink,negative
13,04dd1d2e34,want go music tonight lost voice,negative
14,bbe3cbf620,test test lg env2,neutral
15,8a939bfb59,uh oh sunburned,negative
16,3440297f8b,sok trying plot alternatives speak sigh,negative
17,919fa93391,sick past days thus hair looks wierd didnt hat would look tinyurl mnf4kw,negative
18,af3fed7fc3,back home gon na miss every,negative
19,40e7becabf,hes,neutral
20,04d17ef61e,oh marly sorry hope find soon,neutral
21,e48b0b8a23,playing ghost online really interesting new updates kirin pet metamorph third job wait dragon pet,positive
22,7de057cf40,cleaning house family ming later today,neutral
23,9ce5570064,got ta restart puter thought win7 supposed put end constant rebootiness,neutral
24,0c8cc71c46,see wat mean bout foll0w friidays called lose f0llowers friday smh,neutral
25,e00c6ef376,free fillin app ipod fun im addicted,positive
26,852edc3769,sorry,negative
27,bdc32ea43c,way malaysia internet access twit,negative
28,6ce4a4954b,juss came backk berkeleyy omg madd fun havent minute whassqoodd,positive
29,d22e6d40a7,went sleep power cut noida power back working,negative
30,d33f811375,going home seen new twitter design quite heavenly isn,positive
31,7d8c4c11e4,hope unni make audition fighting dahye unni,positive
32,1c31703aef,consolation got bmi tested hahaha says obesed well much unhappy minutes,negative
33,2dc51711bc,funny cute kids,positive
34,d21ab5855b,ahhh slept game gon na try best watch tomorrow though hope play army,neutral
35,4f5267ad70,thats end tears fears vs eric prydz dj hero bit ly 2hpbg4,neutral
36,2724775d6b,born raised nyc living texas past years still miss ny,negative
37,1cbc812ece,case wonder really busy today ing adding tons new blogs updates stay tuned,neutral
38,4b61dffbeb,soooooo sleeeeepy last day school today sniffle,negative
39,2863f435bd,little happy wine jeje ok ism free time cares jaja love day,positive
40,d93afa85cf,car happy big big dent boot hoping theyre going write crossing fingers waiting,neutral
41,fab6b7d16c,im avid fan magazine love magazines,positive
42,2e7082d1c8,mayday,neutral
43,684081e4e7,ratt rocked nashville tonite thing sucked encore like 80s still fun show pearcy hott bad boy look,neutral
44,c77717b103,love available 5pm dear would love help convert vids,positive
45,a9d499e123,girl hair salon asked shall trim eyebrows old feel,neutral
46,ddf296dffa,egh blah boooooooooooo dunno wan na go work hangovers suckkkkkk im drunk mess,negative
47,c3924dc9e4,visiting friendster facebook,neutral
48,3d9d4b0b55,donbt like peel prawns dont like going shopping running money crawling round car looking,negative
49,3fcea4debc,case got new last week thrilled mine,negative
50,a3ae670885,check twittersucks connect tweeple hate twitter,neutral
51,15d5f3a41b,bored school third freelesson freistunde,neutral
52,3c4a21b2cb,hm us guess,neutral
53,11084dac09,dissappointed past days,negative
54,d8ba2a99a9,romance zero funny,positive
55,e77fd45003,would rather early run morning runner,neutral
56,b159318d76,bah coworker ran work late bag smacked knee really hurts,negative
57,6086b1f016,back later plurk rp3k7,neutral
58,703afdc44b,aw torn ace hearts hunchback,negative
59,90f3d2b572,fun speaking,neutral
60,52483f7da8,lost friends alone sleepy wan na go home,negative
61,a4b0888da6,haha yes,neutral
62,2a9765b7f9,give easily,negative
63,90a2cdb657,better way spoil mum let kick back relax nice meal bottle favorite wine wine red,positive
64,98f25bc596,mannnn got iphone im jealous bit ly ngnar,negative
65,23e1f7dca4,photoshoot,neutral
66,95e12b1cb1,awesome worked good friend,positive
67,c34feef039,yay playing show tonight boo gon na soggy work right playing,neutral
68,fa2654e730,chilliin,positive
69,187494c25b,know agent let know,neutral
70,4213627c3c,still smell smoke kitchenfire,neutral
71,a4e00d4d26,celtics lakers rematch sounds better think lol,positive
72,04e2e334de,anyone extra keane ticket promise buy drink take rad pics fb blog flickr etc,neutral
73,0c4aa867d0,ride catch summer til pop open,neutral
74,a6c61eac26,good gor juz yea kno asked yesterday tha hospital talked said,neutral
75,94bd67443c,ok popped say hi check things probably head guttah later tonight,neutral
76,35f393a245,wow really missin fam ily today baddd,negative
77,b2c9f115b1,sources say,neutral
78,0a61cbf4b5,sooo tired,negative
79,ee9ec7a5a4,hey change twitter account even tell,neutral
80,bbbc46889b,thank yyyyyyyyyoooooooooouuuuu,positive
81,58d382e07a,lucky kid wan na see loserville pity im oz,positive
82,cb4d439ebc,fell asleep waiting ride,neutral
83,64ed512788,sick flu like thing,negative
84,4cd390c007,still reply simfinger problem irape parody video get response sorry guys,negative
85,3d2fcd78c8,happy star wars day everyone enjoy holiday uk,positive
86,0c0563423e,miles essex give plenty warning arrive time get least free beers,neutral
87,cd0d522bb1,snoring annoying keeps sleeping like right lol honestly wud miss eva left love,neutral
88,bffa3ddd61,miss bby wish going tomorrow make good,negative
89,9339ee8e0b,well im working quite ready post publicly still beta testing cool new script coded,positive
90,a76f9cf8ce,sweeeeet san fran awesome love,positive
91,4ce121e2ad,_mounce yes lasts way past bedtime,neutral
92,a3de81e1ba,hi joined twitter,neutral
93,55bacda5eb,waiting sleeping pills kick gon na tired work tomorrow,negative
